quarter,rate
1992Q1,20.0
1992Q2,80.0
1992Q3,50.0
1992Q4,50.0
1993Q1,100.0
1993Q2,140.0
1993Q3,180.0
1993Q4,210.0
1994Q1,210.0
1994Q2,155.0
1994Q3,130.0
1994Q4,180.0
1995Q1,200.0
1995Q2,180.0
1995Q3,195.0
1995Q4,160.0
1996Q1,120.0
1996Q2,120.0
1996Q3,80.0
1996Q4,48.0
1997Q1,42.0
1997Q2,24.0
1997Q3,36.0
1997Q4,28.0
1998Q1,30.0
1998Q2,80.0
1998Q3,60.0
1998Q4,60.0
1999Q1,60.0
1999Q2,55.0
1999Q3,55.0
1999Q4,55.0
2000Q1,33.0
2000Q2,45.0
2000Q3,28.0
2000Q4,25.0
2002Q1,25.0
2002Q2,23.0
2002Q3,21.0
2002Q4,21.0
2003Q1,18.0
2003Q2,16.0
2003Q3,16.0
2003Q4,16.0
2004Q1,14.0
2004Q2,13.0
2004Q3,13.0
2004Q4,13.0
2005Q1,13.0
2005Q2,13.0
2005Q3,13.0
2005Q4,12.0
2006Q1,12.0
2006Q2,11.5
2006Q3,11.5
2006Q4,11.0
2007Q1,10.5
2007Q2,10.0
2007Q3,10.0
2007Q4,10.0
2008Q1,10.25
2008Q2,10.75
2008Q3,11.0
2008Q4,13.0
2009Q1,12.0
2009Q2,11.5
2009Q3,10.0
2009Q4,8.75
2010Q1,8.25
2010Q2,7.75
2010Q3,8.0
2010Q4,8.0
2011Q1,8.0
2011Q2,8.25
2011Q3,8.25
2011Q4,8.0
2012Q1,8.0
2012Q2,8.0
2012Q3,8.25
2012Q4,8.25
2013Q1,8.25
2013Q2,8.25
2013Q3,5.5
2013Q4,5.5
2014Q1,7.0
2014Q2,7.5
2014Q3,8.0
2014Q4,17.0
2015Q1,14.0
2015Q2,11.5
2015Q3,11.0
2015Q4,11.0
2016Q1,11.0
2016Q2,10.5
2016Q3,10.0
2016Q4,10.0
2017Q1,9.75
2017Q2,9.0
2017Q3,8.5
2017Q4,7.75
2018Q1,7.25
2018Q2,7.5
2018Q3,7.5
2018Q4,7.75
2019Q1,7.75
2019Q2,7.5
2019Q3,7.0
2019Q4,6.25
2020Q1,6.0
2020Q2,4.5
2020Q3,4.25
2020Q4,4.25
2021Q1,4.5
2021Q2,5.5
2021Q3,6.75
2021Q4,8.5
2022Q1,20.0
2022Q2,9.5
2022Q3,7.5
2022Q4,8.0
2023Q1,8.0
2023Q2,7.5
2023Q3,13.0
2023Q4,16.0
2024Q1,16.0
2024Q2,16.0
2024Q3,16.0
2024Q4,16.0
